video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"gdZLi9oWNZg","BTS (방탄소년단) 'Dynamite' Official MV","2020-08-21T03:58:10Z","UC3IZKseVpdzPSBaWxBxundA","Big Hit Labels","10","20.25.08","BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄","199101068","14960588","617623","5609694","https://i.ytimg.com/vi/gdZLi9oWNZg/default.jpg","False","False","BTS (방탄소년단) 'Dynamite' Official MVCredits:Director: Yong Seok Choi (Lumpens)Assistant Director: Jihye Yoon (Lumpens)Director of Photography: Hyunwoo Nam (GDW)B Camera Operator: EumkoFocus Puller: Sangwoo Yun, Youngwoo Lee2nd AC: Eunki Kim3rd AC: Kyuwon SeoDIT: Eunil LeeGaffer: Song HyunsukLighting Crew: Choi Jung Hyun, Hwang Uigyu, Kim Hyun Ju, Park Cheonil, Park Yeonghwan, Yeom JaehyeokJimmy Jib Operator: Youngjung KimJimmy Jib Assistant: Hyun in Kim, Sung Hoon KimArt Director: Bona Kim, Jinsil Park (MU:E)Assistant Art Team: Yeri Kang (MU:E)Art-team Manager: ilho Heo (MU:E)Producer: Emma Sungeun Kim (GE Production)Location Manager: Ji Hoon HanVFX STUDIO: PLASTIC BEACHVFX Supervisor: OhzeonVFX Assistant Supervisor: JojeemVFX Project Manager: Chanyoung Song, Jieun JeongVFX Producer: Kyutae Jang3D Artist: Kwangwon Lee, Doyeon Kim, Jeonghwa Lee, Jiwon Jeon2D Artist: Gihoon Jang, Hyunjun LeeVisual Creative: Nu Kim, Sabinne Cheon, Lee Sun Kyoung, Kim Ga Eun, Jung Su JungBrand Experience Design: Kris Seongmin Gim, Hyeri Lee Performance Directing: Son Sung Deuk, Lee Ga Hun, Lee Byung Eun, Hyewon ParkArtist Management: Kim Shin Gyu, Kim Su Bin, Kim Dae Young, Park Jun Tae, An Da Sol, Ahn Jong Hun, Yun Tae Woong, Lee Seung Byeong, Lee Jung MinBig Hit Entertainment. Rights are reserved selectively in the video. Unauthorized reproduction is a violation of applicable laws. Manufactured by Big Hit Entertainment, Seoul, Korea.Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com#BTS #방탄소년단 #BTS_Dynamite #Dynamite #MV"
"BV2FdDmGiW0","BTS (방탄소년단) 'Dynamite' Official MV (B-side)","2020-08-24T15:00:01Z","UC3IZKseVpdzPSBaWxBxundA","Big Hit Labels","10","20.25.08","BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄","22170912","4164584","52320","334031","https://i.ytimg.com/vi/BV2FdDmGiW0/default.jpg","False","False","BTS (방탄소년단) 'Dynamite' Official MV (B-side)Credits:Director: Yong Seok Choi (Lumpens)Assistant Director/Edit: Jihye Yoon (Lumpens)Director of Photography: Hyunwoo Nam (GDW)B Camera Operator: EumkoFocus Puller: Sangwoo Yun, Youngwoo Lee2nd AC: Eunki Kim3rd AC: Kyuwon SeoDIT: Eunil LeeGaffer: Song HyunsukLighting Crew: Choi Jung Hyun, Hwang Uigyu, Kim Hyun Ju, Park Cheonil, Park Yeonghwan, Yeom JaehyeokJimmy Jib Operator: Youngjung KimJimmy Jib Assistant: Hyun in Kim, Sung Hoon KimArt Director: Bona Kim, Jinsil Park (MU:E)Assistant Art Team: Yeri Kang (MU:E)Art-team Manager: ilho Heo (MU:E)Producer: Emma Sungeun Kim (GE Production)Location Manager: Ji Hoon HanVFX STUDIO: PLASTIC BEACHVFX Supervisor: OhzeonVFX Assistant Supervisor: JojeemVFX Project Manager: Chanyoung Song, Jieun JeongVFX Producer: Kyutae Jang3D Artist: Kwangwon Lee, Doyeon Kim, Jeonghwa Lee, Jiwon Jeon2D Artist: Gihoon Jang, Hyunjun LeeVisual Creative: Nu Kim, Sabinne Cheon, Lee Sun Kyoung, Kim Ga Eun, Jung Su JungBrand Experience Design: Kris Seongmin Gim, Hyeri LeePerformance Directing: Son Sung Deuk, Lee Ga Hun, Lee Byung Eun, Park HyewonArtist Management: Kim Shin Gyu, Kim Su Bin, Kim Dae Young, Park Jun Tae, An Da Sol, Ahn Jong Hun, Yun Tae Woong, Lee Seung Byeong, Lee Jung MinBig Hit Entertainment. Rights are reserved selectively in the video. Unauthorized reproduction is a violation of applicable laws. Manufactured by Big Hit Entertainment, Seoul, Korea.Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com#BTS #방탄소년단 #BTS_Dynamite #Dynamite #MV #Bside"
"oaU1sIEDV-g","7 Cara Jenius untuk Menyelinapkan Makanan ke Bioskop 2! || Ide gila dan momen lucu oleh RATATA","2020-08-20T10:00:14Z","UCOrr1XwI__pq0Xldd37IJJQ","RATATA Indonesian","24","20.25.08","7 cara|cara menyelinapkan snack|cara menyelinapkan makanan|ke bioskop|snack bioskop|orang di bioskop|bioskop|hack berguna|ide lucu|prank|prank lucu|tips|trik gila|RATATA indonesia","4460054","30840","8245","3797","https://i.ytimg.com/vi/oaU1sIEDV-g/default.jpg","False","False","Apa kamu suka menonton film dengan teman-temanmu dan membawa banyak makanan? Tapi, seperti kita tahu, tidak boleh bawa masuk makanan ke bioskop, tapi jangan kecewa! Kami punya solusinya! Inilah 7 cara untuk menyelinapkan makanan ke bioskop oleh RATATA! Bagikan video ini ke teman, subscribe channel RATATA dan like video ini!Tonton video menarik lainnya di RATATA:Untuk menyelinap makanan ringan ke bioskop - https://youtu.be/b1faH7e1kegMasalah Orang Pendek Dan Orang Tinggi - https://youtu.be/1xgdQKb7wygTantangan gigit, jilat, atau diam - https://youtu.be/boS96ZfHajUMakanan panas vs dingin - https://youtu.be/fn_Pr9SMWS0Makanan asli vs makanan permen - https://youtu.be/hNGc3RNpxL0Tantangan petak umpet - https://youtu.be/SG-cIL42eDUBerlangganan ke jejaring sosial lain RATATA:Instagram - https://www.instagram.com/ratata_youtube/?hl=ukTikTok - https://www.tiktok.com/@ratataliveFacebook - https://www.facebook.com/Ratata-105265661182623/ #RATATA #DIY #caramenyelinapkan Musik oleh Epidemic Sound: https://www.epidemicsound.com/"
"WMgavkorGdE","RIZKY BILLAR & LESTI KEJORA SIAP KE KUA ?","2020-08-25T07:22:58Z","UCFxxxYyYQtRAuIyW-o6PbEQ","PUTRA SIREGAR MERAKYAT","24","20.25.08","LESLAR|RIZKY BILLAR|LESTI KEJORA|KE UWUAN|KUA|NIKAH|HALAL","1261022","211793","1235","39002","https://i.ytimg.com/vi/WMgavkorGdE/default.jpg","False","False","PODCAST TERPECAH BARENG RIZKY BILLAR DAN LESTI KEJORA, PASTI KALIAN GAK BAKAL KUAT LIAT KE UWUAN MEREKA ?!SELAMAT MENONTON !!!TOLONG MENOLONG LAWAN COVID-19DONASI SEKARANG : https://kitabisa.com/campaign/pstorep...Dukung terus chanel ini, karena adsen-nya untuk kalian semua !!@pst0re@pst0re@pst0reTempat Beli HP termurah sejagat raya sealam semesta setata surya : Hanya di PS STORE | HP PEJABAT HARGA MERAKYAT WAJIB FOLLOW INSTAGRAM DI BAWAH : PSTORE_JAKARTA : https://www.instagram.com/pstore_jakartaPSTORE_BEKASI : https://www.instagram.com/pstore_beka...PSTORE_BATAM     : https://www.instagram.com/pstore_batamPSTORE_TANGERANG : https://www.instagram.com/pstore_tang...PSTORE_BANDUNG : https://www.instagram.com/pstore_bandungPSTORE_CIAMIS : https://www.instagram.com/pstore_ciam...PS.STORE_PEKANBARU : https://www.instagram.com/ps.store_pe...PS.STORE_MEDAN : https://www.instagram.com/ps.store_medanPSTORE_JOGJAKARTA : https://www.instagram.com/pstore_jogj...PSTORE_SURABAYA : https://www.instagram.com/pstore_sura...ISTIQOMAH JAKARTA :https://www.instagram.com/istore_jaka...ISTIQOMAH DEPOK : https://www.instagram.com/istore_depo...LAPTOPSSS : https://www.instagram.com/laptopsss/?...TVSTORE : https://www.instagram.com/laptopsss/?...AHHASTOREJKT : https://www.instagram.com/ahhastorejk... ======================================= Jika Anda Suka Silahkan Like dan Juga bantu Subscribe Channel Kita dengan cara Like Comment and SUBCRIBE..!! INGAT INSTAGRAM kita yang slalu live hanya di atas ini :INGAT SEBELUM TRANSFER INGAT KITA CUMAN PUNYA SATU REKENING PERUSAHAAN YAITU REKENING MANDIRI A/N : PT.PUTRA SIREGAR MERAKYATNO.REK                                : 109-00-5507-707-7INGAT SELAIN NOMOR REKENING INI KAMI TIDAK DAPAT MELAYANI ANDA. HATI - HATI PENIPUANUNTUK ORDER YANG INGIN FAST RESPON KE CS ONLINE YANG INI :RAZY   : 0812-110077-51DIANA : 0812-110077-52FINI      : 0812-110077-53KITA JUGA MENYEDIAKAN PENJUALAN ONLINE  LINK NYA DIBAWAH INI :SHOPEE          : http://shopee.co.id/pstore_#pstore#leslar#lestykejora#rizkybillar------------------------------------------------"
"dGCSeyKL5dE","BLACKPINK X Selena Gomez - 'Ice Cream' Teaser Video","2020-08-24T00:00:07Z","UCOmHUn--16B90oW2L6FRR3A","BLACKPINK","10","20.25.08","YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|로제|리사|지수|Lisa|Jisoo|Jennie|Rosé|BLINK|블링크|Ice Cream|BLACKPINK Ice Cream|블랙핑크 Ice Cream|Selena Gomez Ice Cream|셀레나 고메즈 Ice Cream","8586558","1394484","55187","117543","https://i.ytimg.com/vi/dGCSeyKL5dE/default.jpg","False","False","#BLACKPINK #블랙핑크 #SelenaGomez #셀레나고메즈 #IceCream #NewSingle #TeaserVideo #20200828_12amEST #20200828_1pmKST #Release #YG"
"QkR1LwcU31g","GADIS PANAS GILA vs GADIS DINGIN GILA || Prank dan hack dengan api dan es selama 24 jam oleh RATATA!","2020-08-24T02:00:05Z","UCOrr1XwI__pq0Xldd37IJJQ","RATATA Indonesian","24","20.25.08","api vs es|gadis panas vs gadis es|dingin vs panas|panas vs dingin|tantangan panas|tantangan es|gadis lucu|kompilasi gagal|lucu|RATATA Indonesia|tantangan RATATA","1746075","17651","3628","1674","https://i.ytimg.com/vi/QkR1LwcU31g/default.jpg","False","False","Di video ini, dua elemen yang berlawanan, api dan air, akan bertarung dengan kedok gadis cantik. Gadis-gadis ini akan menunjukan trik, prank dan trik menggunakan kekuatan super. Pasti menarik!Bagikan video ini ke teman, subscribe ke saluran RATATA dan like videonya!Tonton video menarik lainnya di RATATA:Tantangan petak umpet - https://youtu.be/SG-cIL42eDUMakanan asli vs makanan permen - https://youtu.be/hNGc3RNpxL0Masalah Orang Pendek Dan Orang Tinggi - https://youtu.be/1xgdQKb7wygMakanan panas vs dingin - https://youtu.be/fn_Pr9SMWS0Untuk menyelinap makanan ringan ke bioskop - https://youtu.be/b1faH7e1kegTantangan gigit, jilat, atau diam - https://youtu.be/boS96ZfHajUBerlangganan ke jejaring sosial lain RATATA:Instagram - https://www.instagram.com/ratata_youtube/?hl=ukTikTok - https://www.tiktok.com/@ratataliveFacebook - https://www.facebook.com/Ratata-105265661182623/#RATATA #GadisApi #GadisEsMusik oleh Epidemic Sound: https://www.epidemicsound.com/"
"fU0sfEOHqEo","Rizky Febian - Mantra Cinta #GarisCinta [Official Music Video]","2020-08-21T09:00:12Z","UCbygpKn8gqj1LMTMyROF9fg","Rizky Febian","10","20.25.08","kesempurnaan cinta|Cover Rizky Febian|Penantian Berharga|Lagu Terbaru Rizky Febian|video lirik rizky febian|Rizky Febian|Rizky Febian Kesempurnaan Cinta|melawan dunia video lirik|Nona Rizky Febian|Album Jejak Rizky Febian|RFAS Music|Rizky Febian Cover|Album Jejak|Rizky Febian Menari|Rizky Febian Ragu|Anya Geraldine|Korean Movie Series|Korean Movie|makna cinta|mantra cinta|cuek|garis cinta|garis cinta rizky febian|Rizky Febian Anya Geraldine","3609686","270293","3050","33206","https://i.ytimg.com/vi/fU0sfEOHqEo/default.jpg","False","False","#RizkyFebian #MantraCinta #GarisCintaLagu “Mantra Cinta” adalah karya yang di tulis oleh Donne Maula yang di tawarkan ke Rizky Febian saat sedang berkolaborasi dengan Yura Yunita pada saat itu, lagu ini mengingatkan perjuangan Rizky Febian sendiri ketika mencari pasangan. Ini menjadi salah satu alasan kenapa Rizky Febian memilih lagu ini untuk masuk di dalam project “Garis Cinta” kali ini dan tentunya karena temanya sesuai dengan konsep yang dibuat yaitu perjalanan cinta seseorang mendapatkan cinta sejatinya. Lagu ini pun tercipta saat masa karantina kemarin.  Setelah melilih lagu ini, Rizky Febian di bantu Azier Efendi sebagai Music Arranger dan Beraldy Dean sebagai Player Session untuk membuat demoDalam cerita di video klip Mantra Cinta ini Rizky Febian berperan sebagai seorang design graphic yang sedang mencari kekasih dari aplikasi dating, Disetiap pertemuannya Rizky Febian selalu ingin menunjukkan keseriusan dengan memberikan hadiah pilihannya untuk wanita yang ditemuinya. Namun setiap pertemuannya selalu ada hal yang membuat kencannya berujung gagal dan merasa ada hal aneh yang  dialaminya di lokasi pertemuannya dengan wanita-wanita tersebut. Lukisan di Art Exibition seolah-olah menertawai kegagalannya. Ketika Rizky Febian sedang berbicara marah kepada lukisan, seorang wanita cantik yang berkerja di tempat itu menghampirinya dan berkenalan dengan Rizky Febian. Sosok perempuan itu adalah Anya Geraldine yang selalu memperhatikan Rizky  Febian dari kejauhan ketika bertemu dengan wanita-wanita yang di temuinya di tempat itu.Music Video Credit:PH by AVCD FilmsDirected by Risky JusufProduced by Ades VidyatmajaAssistant Director by Puput SinwanDOP by PetirArt Director by Haris HudaStyle Director by Hapsari JusufMake Up Artist by Ghalih MaharaniSong Credit:Composed by Donne MaulaMusic Produced by Ajier EffendyCo-Produced by Beraldy DeanExecutive Producer by RFAS MusicProducer by Rahul Tamara PutraMixed by Ajier EffendyMastered by MikeAvailable on all DSPhttps://backl.ink/142667598Set RBT Cuek onhttps://rbtone.id/rizkyfebianmantracinta"
"JzL0XFPljh0","GEMOOOY! Rizky Billar 'Kupinang Kau dengan Bismillah' untuk Lesti | Malam Puncak SCTV 30","2020-08-24T15:20:23Z","UC_vsErcsq56hOscPHkG-aVw","Surya Citra Televisi (SCTV)","24","20.25.08","sctv|indonesia|sinetron|30 Tahun SCTV|Malam Puncak HUT SCTV|30 SCTV 3xtra Ordinari|3xtraOrdinary|3xtraOrdinary SCTV|rizky billar|lesti|leslar kupinang dengan bismillah|kupinang kau dengan bismillah","3508594","251466","2201","158691","https://i.ytimg.com/vi/JzL0XFPljh0/default.jpg","False","False","Tonton full episode program SCTV klik https://www.vidio.com/watch/2015200-gemoooy-rizky-billar-kupinang-kau-dengan-bismillah-untuk-lesti-malam-puncak-sctv-30?utm_source=youtube&utm_medium=referrer-description&utm_campaign=sctvTonton penampilan Lesti dan Rizky Billar yang menyanyikan lagu Kupinang Kau dengan Bismillah dalam Malam Puncak SCTV 30 #3xtra0rdinaryMalam puncak 3xtra0rdinary SCTV dimeriahkan oleh Iwan Fals, Agnez Mo, Noah, Rossa, Syahrini, Raisa, Reza Artemevia, Judika, Demian, Sandrinna Michelle, Rey Bong, Kiesha Alvaro, Rayensyah Rassya Hidayah, Emiliano Cortizo, Haico Van der Veken, Rangga Azof, Cut Syifa, Syifa Hadju, Jeff Smith. Dipandu oleh Andhika Pratama, Raffi Ahmad dan Yuki Kato.Follow media sosial SCTV lainnya!Instagram : https://www.instagram.com/sctvFacebook : https://www.facebook.com/SCTVTwitter : https://twitter.com/SCTV"
"CVwvP_YWpus","Hari Baper Sedunia! Lesti dan Rizky Billar Duet Mesra 'Kulepas dengan Ikhlas dan Melepasmu Bahagia'","2020-08-24T15:50:18Z","UC_vsErcsq56hOscPHkG-aVw","Surya Citra Televisi (SCTV)","24","20.25.08","sctv|indonesia|sinetron|30 Tahun SCTV|Malam Puncak HUT SCTV|30 SCTV 3xtra Ordinari|3xtraOrdinary|3xtraOrdinary SCTV|leslar|rizky billar|lesti|Kulepas dengan Ikhlas|Melepasmu Bahagia","2692322","180539","1726","39117","https://i.ytimg.com/vi/CVwvP_YWpus/default.jpg","False","False","Tonton full episode program ini  klik https://www.vidio.com/watch/2015211-hari-baper-sedunia-lesti-dan-rizky-billar-duet-mesra-kulepas-dengan-ikhlas-dan-melepasmu-bahagia-malam-punak-sctv-30?utm_source=youtube&utm_medium=referrer-description&utm_campaign=sctvHari Baper Sedunia! Lesti dan Rizky Billar Duet Mesra 'Kulepas dengan Ikhlas dan Melepasmu Bahagia' di Malam Puncak SCTV 30 3xtra0rdinaryFollow media sosial SCTV lainnya!Instagram : https://www.instagram.com/sctvFacebook : https://www.facebook.com/SCTVTwitter : https://twitter.com/SCTV"
"zS33yflGE_k","Bayern lift SIXTH Champions League 🏆Coman scores the winner against PSG in Lisbon to seal 1-0 win","2020-08-23T21:28:53Z","UC0jPwNs4B7yJySNewHan5hQ","Optus Sport","17","20.25.08","how to watch|where can I watch|optus sport|australia|highlights|premier|league|goal|review|premier league highlights|goals|champions league highlights|europa league highlights|soccer|football|premier league|epl|ucl|uel|champions league final|ucl final|psg v bayern|neymar|mbappe|coman|kingsley coman","2127955","28061","1258","2112","https://i.ytimg.com/vi/zS33yflGE_k/default.jpg","False","False",".Get free access to Optus Sport on eligible Optus plans or purchase for $14.99/mth via the Google Play or App Store. Data charges may apply.Download the Optus Sport App:↳ Google Play: http://bit.ly/g00glepl4y↳ Apple Store: http://bit.ly/4pplest0re ►WATCH MORE: https://sport.optus.com.au ==========================For the latest updates, follow us on:►TWITTER: http://twitter.com/optussport►FACEBOOK: http://facebook.com/optussport ►INSTAGRAM: http://instagram.com/optussport Optus Sport is the home of the Premier League, UEFA Champions League, UEFA Europa League, FA Women's Super League and Euro 2020.#OptusSport #ChampionsLeague #PSGBAY"
